agak-agih	[v] memaparkan, membeberkan, membentangkan, mencatat, mencuraikan, menerangkan, mengecam, menggambarkan, menghamparkan, mengkritik, menguraikan, menjabarkan, menjelajahkan, menjelaskan
agakan	[n] dugaan, estimasi, perkiraan, rabaan, sangkaan, telaahan, terkaan
agaknya	[adv] barangkali, gaya-gayanya, gelagatnya, gerangan, jangan-jangan, kalau-kalau, kira-kira, kiranya, mungkin, rasanya, rasa-rasanya, rupa-rupanya, sepertinya, takah-takahnya, tampaknya;
agama	[n] ajaran, akidah, anutan, din, keimanan, kepercayaan, ketuhanan, keyakinan, pedoman, pegangan, petunjuk, religi, tuntunan;
agar	[p] biar, mudah-mudahan, semoga, supaya
agas	[n] gegat, kekorok, kelulut, kerawai, mentadak, ngengat, rengit, serangga, sesorok, sigenting, suruk, tawang-tawang
agen	[n] biro, distributor, leveransir, pemasok, penyalur, penyuplai, wakil;
agen rahasia	[n] intel, jasus, kepetangan, mata-mata, penelik, pengintai, penyuluh, polisi rahasia, seko, spion;
agen siasat	mata-mata, penyelidik
agenda	[n] acara, buku catatan, buku harian, daftar, jadwal, program, rancangan, rencana, senarai, skedul;
agitasi	[n] 1) hasutan, pancingan, provokasi; \n\n2) ajakan, per-suasi, propaganda
agitator	[n] jelatang, penggosok ([ki]), penghasut, provokator
agraria	[n] pertanian; pertanahan
agregasi	[n] aglomerasi, akumulasi, penghimpunan, pengumpulan, penyatuan
agregat	[n] gabungan, komposit, konglomerasi, konglomerat, massa
agresi	[n] aksi, bidasan, gempuran, invasi, penyerbuan, penyerangan, pelanggaran, serangan, serbuan
agresif	[a] 1) bergairah, bernafsu; \n\n2) berangasan, garang, kasar
agresor	[n] penyerang, penyerbu
agun	[n] cagar, garansi, jaminan, sandar, tagan, tanggungan, teban;
agunan	[n] andalan, cagaran, gadaian, jaminan, petaruh, runggu, sandar, sandaran, tajak kebat, tanggungan, taruhan, tendon;
agung	[a] akbar, ala, besar, fadil, gadang, gede ([cak]), gemilang, hebat, istimewa, kabir, kudus, luhur, mulia, penting, super, terhormat, teristimewa, terkemuka, terkenal, termasyhur, ternama, utama, tertinggi; \n\n[ant] kecil
Ahad	[n] 1) Minggu; \n\n2) esa, tunggal, satu
ahli	1) [a] andal, bernas, cakap, campin, hebat, jago, jauhari, jempolan, kawakan, kompeten, lihai, mahir, mampu, mumpuni, pandai, terampil, ulung, unggul; \n\n2) [v] berida ([ki]), berilmu, berpengalaman, berpengetahuan; \n\n3) [n] cendekiawan, cerdik pandai, empu, johar, juara, master, pakar, pendeta, piawai, profesional, sarjana, spesialis, teknikus, tukang, ulama;
ahli	[n] anggota, bani, kaum, peserta, wakil, warga
ahli	[n] darah daging, famili, kadim, keluarga, kerabat, keturunan, marga, sanak, saudara
ahli agama	ajengan, alim ulama, kiai, tengku, ustaz, ustazah;
ahli bahasa	linguis;
ahli filsafat	filsuf;
ahli grafis	desainer, perancang;
ahli hukum	yuris;
ahli ilmu seks	seksolog;
ahli kamus	leksikograf, pekamus;
ahli nujum	astrolog, juru ramal, paranormal, penelah, penilik, peramal; dukun;
ahli olahraga	atlet, olahragawan;
ahli pendidikan	pedagog;
ahli perpustakaan	pustakawan;
ahli pidato	orator;
ahli pikir	filosof, filsuf, pemikir, teoritikus;
ahli politik	politikus, politisi;
ahli sastra	kritikus sastra, sastrawan;
ahli sejarah	ahli tarikh, sejarawan;
ahli seni	seniman, seniwati;
ahli suluk	ahlusuluk, darwis, sufi;
ahli tafsir	mufasir;
aib	1) [a] malu, borok, cacat, cela, cema, hina, rendah, salah; \n\n2) kejelekan, kekeliruan, kekurangan, kenistaan, kesalahan, nista, noda, penghinaan, penyakit ([ki]), rendah, tewas;
air	[n] cairan, cecair, larutan, minuman, tirta, uap;
air atar	minyak wangi;
air bah	air sebak, air ampuh, banjir;
air belanda	air soda;
air hidung	ingus;
air jeruk	kuas;
air keling	air pasang;
air kencing	air kemih, air seni, urine;
air liur	iler, jelijih, ludah, selera;
air mani	benih mani, semen, sperma;
air muka	ekspresi, roman, rona, seri muka, tampang;
air najis	air kencing, air kotor;
air perak	tinta perak;
air raksa	merkurium;
air seni	air kemih, air kencing, urine;
air soda	air belanda;
air suling	air murni, akuades;
air terjun	air lata, gerojokan, jeram, penderasan, riam, teladas;
ajaib	[n] abnormal, absurd, aneh, asing, berbeda, eksentrik, gaib, ganjil, garib, heran, langka, luar biasa, takjub; \n\n[ant] normal
ajak	[v] membawa, membujuk, meminta, memengaruhi, mempersilakan, menantang, mencabar, menganjurkan, menghasut, mengundang, menjemput, menyeru, menyilakan;
ajak	[p] seakan-akan, seolah-olah, seperti, serupa;
ajakan	[n] anggapan, anjuran, bujukan, imbauan, invitasi, jemputan, lambaian, nasihat, panggilan, permintaan, persuasi, propaganda, seruan, undangan, usul
ajal	[n] akhir hayat, janji, kematian, mair, maut
ajang	[n] 1) arena, gelanggang, kancah, medan, palagan, panggung; \n\n2) bekas, tempat, wadah
ajar	[n] asuh, belasah, beri tahu, bimbing, didik, gasak, hukum, jaga, latih, pelihara;
ajar-ajar	[n] begawan, biarawan, biarawati, brahmana, orang suci, pendeta, pertapa, resi, wiku, zahid
ajaran	[n] 1) advis, aliran, alitan, amanat, anjuran, anutan, fatwa, hukuman, ibarat, ideologi, ilham, keyakinan, masukan, mazhab, moral, paham, pandangan, panduan, pedoman, pemikiran, petuah, petunjuk, prinsip, pukulan, sekte, tuntunan, wahyu, wejangan; \n\n2) aksioma, asas, dalil, doktrin, hukum, kaidah, kanon, ketentuan;
aju	[v] melahirkan, memajukan, mempresentasikan, menampilkan, menatakan, mencetuskan, mencurahkan, menganjurkan, mengatakan, mengedepankan, mengeluarkan, mengemukakan, mengetengahkan, menggelindingkan, menghadirkan, mengucapkan, mengusulkan, mengutarakan, menuangkan, menumpahkan, menyajikan, menyalurkan, menyarankan, menyodorkan, menyorongkan;
ajuan	[n] anjuran, proposal, tawaran, usulan
ajudan	[n] ajun, asisten, kepercayaan, pembantu, pendamping, pengapit, tangan kanan \n\n[ant] tuan
ajuk	[v] ejek, jajat, mempermainkan, memperolok-olok, mempersendakan, mencemooh, mengejek, menggonjak;
ajuk	[v] 1) menaksir, menduga, menebak, menerka, menyelami; \n\n2) memeriksa, meneroka, meneropong ([ki]), meninjau, menjajaki, menyelidiki, merasai ([ki])
ajukan	[n] ejekan, olok-olokan, usikan
akad	[n] ikrar, janji, kata sepakat, kesepakatan, ketentuan, komitmen, kontrak, pakta, perikatan, perjanjian, permufakatan, persetujuan, syarat, traktat, tuntutan;
akad nikah	ijab kabul, pemberkatan, pernikahan;
akademi	[n] perguruan, perguruan tinggi, sekolah tinggi
akal	[n] budi, dalih, daya pikir, daya upaya, daya usaha, helat, ikhtiar, ingatan, inisiatif, intelek, kebijaksanaan, kecerdikan, kelicikan, kiat, mantik, muslihat, nalar, otak, pikiran, prakarsa, rasio, renungan, slah, taktik, tipu daya, tipu muslihat, trik;
akal budi	akal sehat, bicara, daya pikir, intelek, penalaran, pikiran sehat;
akal bulus	akal busuk, akal geladak, akal kancil, akal keling, akal laba-laba, akal ubi, angkara, kecerdikan, kelicikan, makar, manipulasi, muslihat, tipu daya, tipu muslihat;
akal-akalan	[a] [cak] asal-asalan, bohong-bohongan, buat-buatan, pura-pura \n\n[ant] sungguh-sungguh
akan	[adv] 1) bakal, hendak, mau; \n\n2) atas, bagi, buat, kepada, pada, untuk; \n\n3) berkenaan, mengenai, perihal, sama, tentang, terhadap; \n\n4) sama, tentu;
akar	[n] 1) asal, benih, bibit, dasar, kausa, mula, pangkal, pokok, pusat, sumber, umbi; \n\n2) ayad, jalur, salur, serat, tisu, tulang, urat; \n\n3) esensi, hakikat, inti, punat, substansi;
akar masalah	pangkal masalah, pokok masalah, sumber masalah;
akar susu	akar tunggang, akar tunjang, akar umbi;
akar tunggang	akar tunjang, akar susu, akar umbi;
akar wangi	narwastu, serai;
akhir	[n] belakang, final, kemunca, simpulan, kesudahan, konklusi, penghabisan, penghujung, penjuru, penutup, pucuk, puncak, rampung, selesai, simpulan, tamat, terminasi, ujung; \n\n[ant] awal
akhir hayat	ajal, akhir hidup, janji kematian, kematian;
akhir tahun	akhirusanah, tutup tahun;
akhir zaman	hari penghabisan, kiamat;
akhirat	[n] alam baka, darul baka
akhirnya	[adv] akibatnya, alhasil, belakangan, hasilnya, keputusannya, kesimpulannya, kesudahannya, sudahnya, walhasil; \n\n[ant] awalnya; mulanya
akhirulkalam	[n] akhir kata, kata penutup, wasalam ([cak])
akhlak	[n] adab, budi bahasa, budi pekerti, etika, integritas, karakter, kelakuan, moral, perangai, sila, sopan santun, susila, tabiat, watak;
akibat	[n] akhir, balasan, buah, dampak, efek, ekoran, ekses, ganjaran, hasil, imbalan, imbangan, imbas, kelanjutan, kesan, kesudahan, konsekuensi, pengaruh, reaksi, resultan, risiko, sambungan, terusan;
akibatnya	[p] akhirnya, alhasil, balasannya, hasilnya, jadinya, karenanya, kesannya, kesudahannya, risikonya
akidah	[n] dogma, doktrin, iktikad, iman, kepercayaan, keyakinan
akil	[a] arif, bakir, berakal, berilmu, berotak, berpendidikan, berpengetahuan, berpikiran, bijaksana, budiman, cendekia, cerdik, pandai, pintar, terpelajar;
akil balig	cukup akal, cukup umur, dewasa, remaja, sampai umur
akomodasi	[n] fasilitas, kemudahan;
akrab	[a] bersahabat, dekat, erat, familier ([cak]), hangat, ikrab, intim, karib, kekeluargaan kental, melekat, mendalam, mesra, rapat; \n\n[ant] jauh, renggang
akreditasi	[n] legalisasi, pengakuan, pengesahan, pengukuhan
akronim	[n] abreviasi, kependekan, singkatan
aksara	[n] abjad, huruf, karakter
